# DatScan(filename: C:\Users\dgpor\Dropbox\Python\ExamplePeaks\393940.dat, namespace: 188, associations: 12)
# 393940.dat
# eta,roi1_sum,error
38.0851, -1.0, 1.4142135623730951
38.0901, -1.0, 1.4142135623730951
38.0951, -2.0, 1.7320508075688772
38.1001, -2.0, 1.7320508075688772
38.1051, -2.0, 1.7320508075688772
38.1101, -1.0, 1.4142135623730951
38.1151, -1.0, 1.4142135623730951
38.1201, -1.0, 1.4142135623730951
38.1251, -2.0, 1.7320508075688772
38.1301, -2.0, 1.7320508075688772
38.1351, -2.0, 1.7320508075688772
38.1401, -2.0, 1.7320508075688772
38.1451, -2.0, 1.7320508075688772
38.1501, -2.0, 1.7320508075688772
38.1551, -2.0, 1.7320508075688772
38.1601, -1.0, 1.4142135623730951
38.1651, -1.0, 1.4142135623730951
38.1701, -1.0, 1.4142135623730951
38.1751, -2.0, 1.7320508075688772
38.1801, -1.0, 1.4142135623730951
38.1851, 0.0, 1.0
38.1901, -1.0, 1.4142135623730951
38.1951, 0.0, 1.0
38.2001, -1.0, 1.4142135623730951
38.2051, 0.0, 1.0
38.2101, -1.0, 1.4142135623730951
38.2151, 1.0, 1.4142135623730951
38.2201, 0.0, 1.0
38.2251, -1.0, 1.4142135623730951
38.2301, -2.0, 1.7320508075688772
38.2351, -2.0, 1.7320508075688772
38.2401, -2.0, 1.7320508075688772
38.2451, -1.0, 1.4142135623730951
38.2501, -2.0, 1.7320508075688772
38.2551, -1.0, 1.4142135623730951
38.2601, 1.0, 1.4142135623730951
38.2651, -1.0, 1.4142135623730951
38.2701, 2.0, 1.7320508075688772
38.2751, 0.0, 1.0
38.2801, 7.0, 2.8284271247461903
38.2851, 5.0, 2.449489742783178
38.2901, 3.0, 2.0
38.2951, 16.0, 4.123105625617661
38.3001, 47.0, 6.928203230275509
38.3051, 48.0, 7.0
38.3101, 38.0, 6.244997998398398
38.3151, 13.0, 3.7416573867739413
38.3201, 7.0, 2.8284271247461903
38.3251, 4.0, 2.23606797749979
38.3301, -1.0, 1.4142135623730951
38.3351, -1.0, 1.4142135623730951
38.3401, 0.0, 1.0
38.3451, -1.0, 1.4142135623730951
38.3501, -1.0, 1.4142135623730951
38.3551, 0.0, 1.0
38.3601, 0.0, 1.0
38.3651, -2.0, 1.7320508075688772
38.3701, -2.0, 1.7320508075688772
38.3751, -2.0, 1.7320508075688772
38.3801, 0.0, 1.0
38.3851, -1.0, 1.4142135623730951
38.3901, -1.0, 1.4142135623730951
38.3951, -1.0, 1.4142135623730951
38.4001, -2.0, 1.7320508075688772
38.4051, -2.0, 1.7320508075688772
38.4101, -2.0, 1.7320508075688772
38.4151, 0.0, 1.0
38.4201, -1.0, 1.4142135623730951
38.4251, -1.0, 1.4142135623730951
38.4301, 0.0, 1.0
38.4351, -1.0, 1.4142135623730951
38.4401, -1.0, 1.4142135623730951
38.4451, -1.0, 1.4142135623730951
38.4501, -2.0, 1.7320508075688772
38.4551, -2.0, 1.7320508075688772
38.4601, -1.0, 1.4142135623730951
38.4651, 0.0, 1.0
38.4701, -2.0, 1.7320508075688772
38.4751, -2.0, 1.7320508075688772
38.4801, 0.0, 1.0
38.4851, 0.0, 1.0
