# DatScan(filename: C:\Users\dgpor\Dropbox\Python\ExamplePeaks\571654.dat, namespace: 197, associations: 12)
# 571654.dat
# l,roi1_sum,error
-0.0169, 4899.0, 70.0
-0.0159, 4954.0, 70.39176088151227
-0.0149, 4892.0, 69.94998213009065
-0.0139, 4941.0, 70.2993598832877
-0.013, 4920.0, 70.14983962918234
-0.012, 4874.0, 69.82120021884471
-0.011, 4888.0, 69.92138442565336
-0.01, 5064.0, 71.16881339463234
-0.009, 5034.0, 70.95773389842716
-0.008, 4924.0, 70.178344238091
-0.007, 4720.0, 68.70953354520753
-0.0059, 4743.0, 68.87670143089025
-0.0049, 5003.0, 70.73895673530957
-0.0039, 4917.0, 70.12845356914696
-0.0029, 4847.0, 69.62758074211685
-0.002, 4856.0, 69.6921803361037
-0.001, 4995.0, 70.68238818828917
0.0, 4969.0, 70.49822692805827
0.001, 5155.0, 71.80529228406496
0.002, 5515.0, 74.26977851050857
0.003, 5346.0, 73.12318373812782
0.004, 4931.0, 70.22819946431775
0.0051, 4854.0, 69.67783004657937
0.0061, 4980.0, 70.57619995437555
0.0071, 4853.0, 69.67065379340143
0.0081, 4823.0, 69.45502141674135
0.009, 4695.0, 68.52736679604726
0.01, 4923.0, 70.17121917139534
0.011, 4939.0, 70.28513356322232
0.012, 4728.0, 68.76772498781678
0.013, 4836.0, 69.54854419756032
0.014, 4932.0, 70.2353187506115
0.015, 4787.0, 69.19537556802477
0.0161, 4748.0, 68.9129886160802
0.0171, 4869.0, 69.7853852894716
0.0181, 4873.0, 69.81403870282824
0.0191, 4912.0, 70.09279563550022
0.0201, 4722.0, 68.72408602520662
0.0211, 4859.0, 69.7137002317335
0.0221, 4821.0, 69.44062211702888
0.0231, 4817.0, 69.4118145563131
0.024, 4833.0, 69.52697318307479
0.025, 4817.0, 69.4118145563131
0.026, 4836.0, 69.54854419756032
0.0271, 4881.0, 69.87131027825369
0.0281, 4810.0, 69.36137253543934
0.0291, 4766.0, 69.04346457123947
0.0301, 4914.0, 70.10706098532444
0.0311, 4783.0, 69.16646586316233
0.0321, 4723.0, 68.73136110975832
0.0331, 4716.0, 68.6804193347711
0.0341, 4703.0, 68.58571279792899
0.035, 4801.0, 69.29646455628166
0.036, 4865.0, 69.75672010638115
0.037, 4744.0, 68.8839603971781
0.0381, 4790.0, 69.21704992268884
0.0391, 4742.0, 68.86944169949398
0.0401, 4757.0, 68.97825744392213
0.0411, 4834.0, 69.53416426476987
0.0421, 4736.0, 68.82586723027906
0.0431, 4663.0, 68.2934843158555
